"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"453","Shenandoah University","Winchester","VA","359.5","2104"
"454","Ohio State University-Newark Campus","Newark","OH","359","2119"
"455","University of South Carolina-Columbia","Columbia","SC","358","26840"
"456","Ohio University-Eastern Campus","Saint Clairsville","OH","358","288"
"457","California State University-Northridge","Northridge","CA","356","32103"
"458","University of Central Arkansas","Conway","AR","356","7563"
"459","Delaware State University","Dover","DE","356","4588"
"460","Milligan University","Milligan","TN","355","726"
"461","Emory University-Oxford College","Oxford","GA","354","1048"
"462","Saint Johns River State College","Palatka","FL","353.8","3708"
"463","Parker University","Dallas","TX","352","411"
"464","University of Nevada-Las Vegas","Las Vegas","NV","350","24329"
"465","Indiana Wesleyan University-National & Global","Marion","IN","350","5451"
"466","University of Hartford","West Hartford","CT","350","3876"
"467","Harford Community College","Bel Air","MD","350","3620"
"468","Harding University","Searcy","AR","350","3198"
"469","University of Richmond","University of Richmond","VA","350","3069"
"470","St Olaf College","Northfield","MN","350","3019"
"471","Valparaiso University","Valparaiso","IN","350","2342"
"472","Indiana Wesleyan University-Marion","Marion","IN","350","2097"
"473","Gustavus Adolphus College","Saint Peter","MN","350","2069"
"474","Western Colorado University","Gunnison","CO","350","1673"
"475","Rend Lake College","Ina","IL","350","1278"
"476","Westminster College","New Wilmington","PA","350","1023"
"477","Southern Wesleyan University","Central","SC","350","798"
"478","Johnson University","Knoxville","TN","350","668"
"479","Guilford College","Greensboro","NC","349","1022"
"480","California State University-Dominguez Hills","Carson","CA","346","13903"
"481","Eastern Washington University","Cheney","WA","345","6938"
"482","Florida International University","Miami","FL","342","39277"
"483","California State University-East Bay","Hayward","CA","342","10709"
"484","Ohio Northern University","Ada","OH","342","2402"
"485","Florida International Training Institute","Miami","FL","342","426"
"486","Vanderbilt University","Nashville","TN","340","7144"
"487","Wake Forest University","Winston-Salem","NC","340","5446"
"488","Rowan College of South Jersey-Gloucester Campus","Sewell","NJ","340","4510"
"489","University of Mary Hardin-Baylor","Belton","TX","340","3013"
"490","Lafayette College","Easton","PA","340","2725"
"491","Pfeiffer University","Misenheimer","NC","340","683"
"492","United States Naval Academy","Annapolis","MD","338","4450"
"493","Shasta College","Redding","CA","337","4754"
"494","Long Island University","Brookville","NY","334","5751"
