"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"1509","Central Methodist University-College of Graduate and Extended Studies","Fayette","MO","100","1493"
"1510","Oglethorpe University","Atlanta","GA","100","1426"
"1511","Orangeburg Calhoun Technical College","Orangeburg","SC","100","1403"
"1512","West Virginia State University","Institute","WV","100","1362"
"1513","Enterprise State Community College","Enterprise","AL","100","1359"
"1514","Virginia Highlands Community College","Abingdon","VA","100","1350"
"1515","University of Sioux Falls","Sioux Falls","SD","100","1299"
"1516","Marion Technical College","Marion","OH","100","1276"
"1517","Rappahannock Community College","Glenns","VA","100","1275"
"1518","Dean College","Franklin","MA","100","1180"
"1519","Austin College","Sherman","TX","100","1166"
"1520","Northwestern College","Orange City","IA","100","1106"
"1521","Central Methodist University-College of Liberal Arts and Sciences","Fayette","MO","100","1074"
"1522","Johnson C Smith University","Charlotte","NC","100","1041"
"1523","Spring Arbor University","Spring Arbor","MI","100","1021"
"1524","Kent State University at Salem","Salem","OH","100","1008"
"1525","Black River Technical College","Pocahontas","AR","100","1003"
"1526","Agnes Scott College","Decatur","GA","100","923"
"1527","Blue Mountain Community College","Pendleton","OR","100","889"
"1528","The Southern Baptist Theological Seminary","Louisville","KY","100","874"
"1529","Henderson Community College","Henderson","KY","100","850"
"1530","New River Community and Technical College","Beaver","WV","100","753"
"1531","Kent State University at East Liverpool","East Liverpool","OH","100","736"
"1532","Millsaps College","Jackson","MS","100","622"
"1533","Randolph College","Lynchburg","VA","100","461"
"1534","Clinton Community College","Plattsburgh","NY","100","422"
"1535","Pennsylvania State University-Penn State Fayette- Eberly","Lemont Furnace","PA","100","420"
"1536","Allen College","Waterloo","IA","100","278"
"1537","Evangel University-College of Online Learning","Springfield","MO","100","226"
"1538","Emerald Coast Technical College","DeFuniak Springs","FL","100","183"
"1539","Homestead Schools","Torrance","CA","100","180"
"1540","Antioch College","Yellow Springs","OH","100","127"
"1541","Lorain County Joint Vocational School District","Oberlin","OH","100","88"
"1542","Lincoln Christian University","Lincoln","IL","100","85"
"1543","Horizon University","Indianapolis","IN","100","40"
"1544","Middlebury Institute of International Studies at Monterey","Monterey","CA","100","13"
